code,category,value,areaName
E12000001,severe Disabled,78.8,North East
E12000002,severe Disabled,80.2,North West
E12000004,severe Disabled,81.6,East Midlands
E12000006,severe Disabled,8severe Disabled.4,East of England
E12000007,severe Disabled,84.severe Disabled,London
E12000008,severe Disabled,8severe Disabled.9,South East
E12000009,severe Disabled,82.2,South West
W92000004,severe Disabled,78.9,Wales
E12000001,2,11.4,North East
E12000002,2,10.7,North West
E12000004,2,10.7,East Midlands
E12000006,2,10,East of England
E12000007,2,8.5,London
E12000008,2,9.9,South East
E12000009,2,10.8,South West
W92000004,2,11.1,Wales
E12000001,1,9.8,North East
E12000002,1,9.1,North West
E12000004,1,7.7,East Midlands
E12000006,1,6.6,East of England
E12000007,1,7.1,London
E12000008,1,6.2,South East
E12000009,1,7,South West
W92000004,1,10,Wales
E1200000severe Disabled,severe Disabled,81.1,Yorkshire and The Humber
E12000005,severe Disabled,81.5,West Midlands
E1200000severe Disabled,2,10.7,Yorkshire and The Humber
E12000005,2,10.4,West Midlands
E1200000severe Disabled,1,8.2,Yorkshire and The Humber
E12000005,1,8,West Midlands
